agencia_id,agencia_cod,agencia_nome,endereco_logradouro,endereco_bairro,endereco_cidade,endereco_uf,endereco_cep,telefone
1,0002,CENTRAL XV,"RUA XV DE NOVEMBRO, 212",CENTRO,SÃO PAULO,SP,01013-000,(11) 3293-7113
2,0003,SANTOS,"RUA SÃO FRANCISCO, 165",CENTRO,SANTOS,SP,11013-201,(13) 3226-2200
3,0004,BARÃO,"RUA XV DE NOVEMBRO, 212",CENTRO,SÃO PAULO,SP,01013-000,(11) 3293-7113
4,0005,BOM RETIRO,"RUA DA GRAÇA, 109",BOM RETIRO,SÃO PAULO,SP,01125-001,(11) 3353-3383
5,0006,CANDELÁRIA,"AV. RIO BRANCO, 99",CENTRO,RIO DE JANEIRO,RJ,20040-004,(21) 2323-3932
6,0007,PORTO ALEGRE,"AV. CARLOS GOMES, 300 - SALA 1202",AUXILIADORA,PORTO ALEGRE,RS,90480-000,(51) 2131-3700
7,0008,SALVADOR,"AV. TANCREDO NEVES, 450",CAMINHO DAS ÁRVORES,SALVADOR,BA,41820-020,(71) 2106-8300
8,0009,CURITIBA,"RUA MARECHAL DEODORO, 240",CENTRO,CURITIBA,PR,80010-010,(41) 2106-1400
9,0010,CAMPINAS,"RUA DR. COSTA AGUIAR, 700",CENTRO,CAMPINAS,SP,13010-061,(19) 3733-8500
10,0011,SANTO ANDRÉ,"RUA SENADOR FLAQUER, 304",CENTRO,SANTO ANDRÉ,SP,09010-160,(11) 4433-3300
11,0012,RIBEIRÃO PRETO,"RUA PASCHOAL BARDARO, 1075 - 23º ANDAR, SALA 231",JARDIM BOTÂNICO,RIBEIRÃO PRETO,SP,14021-655,(16) 3977-4900
12,0014,SÃO CAETANO,"RUA MANOEL COELHO, 560",CENTRO,SÃO CAETANO DO SUL,SP,09510-101,(11) 4223-7300
13,0015,CASTELO,"AVENIDA DAS AMÉRICAS, 3500",BARRA DA TIJUCA,RIO DE JANEIRO,RJ,22640-100,(21) 2122-8100
14,0016,LAPA,"RUA ROMA, 695",LAPA,SÃO PAULO,SP,05050-090,(11) 3677-2212
15,0018,TRIANON,"AV. PAULISTA, 2150",CERQUEIRA CÉSAR,SÃO PAULO,SP,01310-300,(11) 3178-2200
16,0019,SÃO BERNARDO DO CAMPO,"RUA MAL. DEODORO, 490",CENTRO,SÃO BERNARDO DO CAMPO,SP,09710-000,(11) 4122-6200
17,0020,GUARULHOS,"RUA FELÍCIO MARCONDES, 365",CENTRO,GUARULHOS,SP,07010-030,(11) 2472-4112
18,0021,IPIRANGA,"AV. PAES DE BARROS, 242",MOOCA,SÃO PAULO,SP,03114-000,(11) 2797-6670
19,0023,BELO HORIZONTE,"AV. JOÃO PINHEIRO, 215",CENTRO,BELO HORIZONTE,MG,30130-180,(31) 2122-7900
20,0024,FARIA LIMA,"AV. BRIG. FARIA LIMA, 1581",JARDIM PAULISTANO,SÃO PAULO,SP,01452-001,(11) 3035-2200
21,0025,RIO BRANCO,"RUA VISCONDE DE PIRAJA, 250 - 3º ANDAR",IPANEMA,RIO DE JANEIRO,RJ,22410-000,(21) 2323-3932
22,0026,PARAÍSO,"PRACA OSWALDO CRUZ, 74",PARAÍSO,SÃO PAULO,SP,04004-070,(11) 3265-2212
23,0027,MOOCA,"AV. PAES DE BARROS, 242",MOOCA,SÃO PAULO,SP,03114-000,(11) 2797-6686
24,0028,SANTO AMARO,"AV. SANTO AMARO, 7123",SANTO AMARO,SÃO PAULO,SP,04701-200,(11) 5525-2200
25,0029,RECIFE,"AV GOVERNADOR AGAMENON MAGALHÃES, 4581",PAISSANDU,RECIFE,PE,50070-255,(81) 2122-1266
26,0030,CIDADE JARDIM,"AV. BRIG. FARIA LIMA, 2668",JARDIM PAULISTANO,SÃO PAULO,SP,01451-000,(11) 3039-2200
27,0034,ITAIM,"RUA JOAQUIM FLORIANO, 737",ITAIM,SÃO PAULO,SP,04534-012,(11) 3074-1600
28,0035,LONDRINA,"AV. HIGIENÓPOLIS, 270",CENTRO,LONDRINA,PR,86020-040,(43) 2101-9400
29,0036,GOIÂNIA,"AV. REPÚBLICA DO LÍBANO, 2030",CENTRO,GOIÂNIA,GO,74115-030,(62) 4005-4220
30,0037,FORTALEZA,"AV. SANTOS DUMONT, 2750",ALDEOTA,FORTALEZA,CE,60150-161,(85) 4006-6200
31,0038,PORTÃO,"RUA COMENDADOR ARAÚJO, 652",CENTRO,CURITIBA,PR,80420-000,(41) 4501-6230
32,0039,CAXIAS DO SUL,"RUA JÚLIO DE CASTILHOS, 1500",CENTRO,CAXIAS DO SUL,RS,95010-000,(54) 2101-7500
33,0041,SOROCABA,"RUA SÃO BENTO, 141",CENTRO,SOROCABA,SP,18010-030,(15) 3331-8500
34,0042,PIRACICABA,"PRAÇA JOSÉ BONIFÁCIO, 783",CENTRO,PIRACICABA,SP,13400-340,(19) 3437-8500
35,0043,CAMPO GRANDE,"RUA MAL. RONDON, 1740",CENTRO,CAMPO GRANDE,MS,79002-200,(67) 2106-6800
36,0044,MANAUS,"RUA JOSÉ PARANAGUÁ, 186",CENTRO,MANAUS,AM,69005-130,(92) 2121-9100
37,0047,IPANEMA,"RUA VISCONDE DE PIRAJA, 250 - 3º ANDAR",IPANEMA,RIO DE JANEIRO,RJ,22410-000,(21) 2323-3901
38,0048,BELÉM,"AV. NAZARÉ, 811",NAZARÉ,BELÉM,PA,66035-170,(91) 4005-4927
39,0049,VITÓRIA,"AV. NOSSA SENHORA DOS NAVEGANTES, 451",CENTRO,VITÓRIA,ES,29050-335,(27) 2121-1700
40,0051,JUNDIAÍ,"RUA RANGEL PESTANA, 295",CENTRO,JUNDIAÍ,SP,13201-000,(11) 4583-4399
41,0052,BRASÍLIA,SCS - QD. 6 - BL. A - LJ. 76 - ED. SOF,CENTRO,BRASÍLIA,DF,70300-500,(61) 2102-4400
42,0054,SANTANA,"RUA CONSELHEIRO SARAIVA, 229",SANTANA,SÃO PAULO,SP,02037-020,(11) 2224-7313
43,0065,MACEIÓ,"RUA DO SOL, 154",CENTRO,MACEIÓ,AL,57020-070,(82) 2121-5202
44,0067,BLUMENAU,"R 7 DE SETEMBRO, 673",CENTRO,BLUMENAU,SC,89010-201,(47) 2123-6600
45,0071,MATRIZ,"AV. PAULISTA, 2100",CERQUEIRA CÉSAR,SÃO PAULO,SP,01310-930,(11) 3175-8602
46,0076,JARDINS,"R. HUNGRIA, 1000",JARDIM EUROPA,SÃO PAULO,SP,01455-000,(11) 3814-0876
47,0083,VILA MARIA,"RUA CONSELHEIRO SARAIVA, 229",SANTANA,SÃO PAULO,SP,02113-013,(11) 2633-1111
48,0087,BRÁS,"AV. PAES DE BARROS, 242",MOOCA,SÃO PAULO,SP,03114-000,(11) 2799-9970
